Date,High,Low,Open,Close,Volume,Adj Close,weekday,Name
2020-05-27,318.71,313.09,316.14,318.11,28236300,318.11,2,AAPL
2020-05-28,323.44,315.63,316.77,318.25,33390200,318.25,3,AAPL
2020-05-29,321.15,316.47,319.25,317.94,nan,317.94,4,AAPL
2020-05-30,nan,nan,nan,nan,nan,nan,5,AAPL
2020-05-31,nan,nan,nan,nan,nan,nan,6,AAPL
2020-06-01,322.35,317.21,317.75,321.85,20197800,321.85,0,AAPL
2020-06-02,323.44,318.93,320.75,323.34,21910700,323.34,1,AAPL
2020-06-03,326.2,322.3,324.66,325.12,nan,325.12,2,AAPL
2020-06-04,325.62,320.78,324.39,322.32,21890100,322.32,3,AAPL
2020-06-05,331.75,323.23,323.35,331.5,34312600,331.5,4,AAPL
